a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c_orig,et_h_c_v2,et_h_d,et_h_e
20,1,6,0.0,0.0,1000,1,1000,1000,1000,1000
19,1,3,0.3346693386773547,20.694610778443113,1000,1,1000,1000,1000,1000
7,1,18,0.1683366733466934,13.488095238095237,1,1,1,1,1000,1
8,1,8,0.0,0.0,4,1,3,1,1000,6
19,1,16,0.25250501002004005,36.833333333333336,7,1,6,1,1000,74
20,1,18,0.0,0.0,6,1,5,1,1000,8
11,1,18,0.3346693386773547,36.58083832335329,2,1,2,1,1000,2
10,1,1,1.0,18.132264529058116,1000,1,1000,1000,1000,1000
8,1,17,0.4709418837675351,33.87234042553192,1,1,1,1,1000,1
10,1,17,0.9418837675350702,78.08085106382978,2,1,2,1,1000,2
8,1,6,0.0,0.0,7,1,5,3,1000,13
16,1,6,0.0,0.0,1000,1,1000,1000,1000,1000
15,1,17,0.4709418837675351,63.795744680851065,4,1,3,1,1000,4
15,1,6,0.0,0.0,1000,1,1000,1000,1000,1000
5,1,20,0.0,0.0,1,1,1,1,1000,1
12,1,20,0.0,0.0,2,1,2,1,1000,2
6,1,15,0.0,0.0,1,1,1,1,1000,1
2,1,18,0.0,0.0,1,1,1,1,5,1
4,1,8,0.0,0.0,1,1,1,1,1000,1
10,1,20,0.0,0.0,1,1,1,1,1000,1
7,1,6,0.1683366733466934,10.202380952380953,5,1,4,3,1000,14
19,1,11,0.9098196392785571,99.17400881057269,1000,1,1000,4,1000,1000
17,1,9,0.22244488977955912,27.46846846846847,1000,1,1000,5,1000,1000
4,1,14,0.0,0.0,1,1,1,1,1000,1
4,1,9,0.3346693386773547,9.736526946107784,1,1,1,1,1000,1
17,1,5,0.8016032064128257,42.1975,1000,1,1000,1000,1000,1000
13,1,17,0.23647294589178355,31.97457627118644,2,1,2,1,1000,2
18,1,16,0.0,0.0,6,1,5,1,1000,8
4,1,3,0.3346693386773547,8.089820359281438,5,1,4,4,1000,8
2,1,4,0.0,0.0,1,4,1,2,5,1
7,1,18,0.1683366733466934,13.488095238095237,1,1,1,1,1000,1
4,1,4,0.0,0.0,4,1,2,3,1000,4
10,1,15,0.0,0.0,2,1,2,1,1000,2
11,1,8,0.25250501002004005,15.46031746031746,8,1,6,3,1000,12
2,1,6,0.0,0.0,1,6,1,1,5,1
2,1,19,0.9478957915831663,13.437632135306554,1,1,1,1,5,1
20,1,1,1.0,32.565130260521045,1000,1,1000,1000,1000,1000
2,1,2,0.0,0.0,2,2,2,13,5,4
17,1,14,0.4288577154308617,56.75233644859813,7,1,6,1,1000,29
14,1,10,0.0,0.0,8,1,7,3,1000,12
3,1,18,0.0,0.0,1,1,1,1,9,1
7,1,6,0.1683366733466934,10.202380952380953,5,1,4,3,1000,14
2,1,8,0.0,0.0,1,3,1,1,5,1
14,1,5,0.40080160320641284,23.62,1000,1,1000,1000,1000,1000
12,1,12,0.0,0.0,4,1,4,1,1000,7
14,1,15,0.1342685370741483,23.582089552238806,4,1,3,1,1000,4
3,1,10,0.40080160320641284,9.09,1,1,1,1,11,1
4,1,2,0.0,0.0,1000,1,8,1000,1000,1000
12,1,20,0.0,0.0,2,1,2,1,1000,2
8,1,17,0.4709418837675351,33.87234042553192,1,1,1,1,1000,1
4,1,3,0.3346693386773547,8.089820359281438,5,1,4,4,1000,8
17,1,9,0.22244488977955912,27.46846846846847,1000,1,1000,5,1000,1000
17,1,16,0.06412825651302605,16.90625,5,1,4,1,1000,7
14,1,11,0.45691382765531063,34.478070175438596,7,1,6,1,1000,13
10,1,13,0.46292585170340683,34.03463203463203,2,1,2,1,1000,2
17,1,15,0.27054108216432865,26.31111111111111,6,1,5,1,1000,8
3,1,15,0.0,0.0,1,1,1,1,10,1
9,1,6,0.0,0.0,14,1,6,3,1000,16
18,1,11,0.9098196392785571,93.91409691629956,1000,1,38,4,1000,1000
3,1,12,0.0,0.0,1,1,1,1,10,1
7,1,7,0.0,0.0,4,1,3,2,1000,6
20,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
