Input,Final_RE,Final_IM,Magnitude,Mandel_Match
203,-1370,-1374,1940.30,true
204,-1262,-1320,1826.21,true
205,1042,-6,1042.02,true
206,-1388,-6,1388.01,true
207,-1397,-1401,1978.49,true
208,979,903,1331.86,true
209,1060,1056,1496.24,true
210,1063,3,1063.00,true
211,-1424,-1428,2016.67,true
212,898,-906,1275.63,true
213,979,903,1331.86,true
214,-1442,-6,1442.01,true
215,-1451,-1455,2054.85,true
216,-11,-1491,1491.04,true
217,934,-924,1313.82,true
218,1105,3,1105.00,true
219,-1478,-1482,2093.04,true
220,1060,12,1060.07,true
221,-1253,1263,1779.09,true
222,-1496,-6,1496.01,true
223,1,-1005,1005.00,true
224,1045,57,1046.55,true
225,1141,1137,1610.79,true
226,-1289,1281,1817.27,true
227,1,-1023,1023.00,true
228,1150,-6,1150.02,true
229,-1469,-1491,2093.09,true
230,-1550,-6,1550.01,true
231,1,-1041,1041.00,true
232,937,-969,1347.94,true
233,-884,-888,1253.00,true
234,7,-1779,1779.01,true
235,1,-1059,1059.00,true
236,-965,-807,1257.96,true
237,1204,-6,1204.01,true
